x,y,z
-0.0306076649,0.1016684661,1.1949641374
-0.0316544105,0.1005839066,1.1889832303
-0.0326016217,0.0994817387,1.1829911057
-0.0334433154,0.0983680876,1.1769990277
-0.0341742209,0.0972476962,1.1710165068
-0.0347899133,0.0961239111,1.1650510468
-0.0352869418,0.0949987271,1.1591080095
-0.0356629431,0.0938728871,1.1531905950
-0.0359167362,0.0927460307,1.1472999306
-0.0360483892,0.0916168846,1.1414352556
-0.0360592556,0.0904834883,1.1355941862
-0.0316754285,0.0861029509,1.1299261369
-0.0318583175,0.0852500369,1.1241392945
-0.0319118411,0.0843742302,1.1183541686
-0.0318413443,0.0834719801,1.1125670042
-0.0316531715,0.0825406137,1.1067742986
-0.0313545510,0.0815786050,1.1009731443
-0.0309534633,0.0805857964,1.0951615338
-0.0304584992,0.0795635584,1.0893386081
-0.0298787107,0.0785148755,1.0835048371
-0.0292234616,0.0774443488,1.0776621202
-0.0285022823,0.0763581113,1.0718137984
-0.0277247323,0.0752636568,1.0659645769
-0.0233239996,0.0814670193,1.0593523222
-0.0230685957,0.0790564188,1.0536179232
-0.0227284416,0.0767641489,1.0478684140
0.3576137401,-0.9219623658,0.8577360103
0.3561077558,-0.9199515612,0.8582206354
0.3546483048,-0.9179095117,0.8587164120
0.3532174277,-0.9158517222,0.8592305587
0.3518103227,-0.9137812464,0.8597591138
0.3504264710,-0.9116970451,0.8602943654
0.3490664586,-0.9095971835,0.8608280704
0.3477311247,-0.9074798299,0.8613527052
0.3464212543,-0.9053435697,0.8618618308
0.3451371945,-0.9031876067,0.8623500725
0.3438784003,-0.9010119443,0.8628129518
0.3426431277,-0.8988174732,0.8632467049
0.3414284576,-0.8966058918,0.8636481760
0.3402306873,-0.8943794534,0.8640148210
0.3390459796,-0.8921405974,0.8643448150
0.3378710785,-0.8898915609,0.8646372205
0.3367039011,-0.8876340599,0.8648921586
0.3355438722,-0.8853691001,0.8651109281
0.3343919490,-0.8830969285,0.8652960299
0.3332503487,-0.8808170896,0.8654510801
0.3321220222,-0.8785285041,0.8655806177
0.3310099202,-0.8762294400,0.8656898427
0.3299160684,-0.8739172075,0.8657843459
0.3288404470,-0.8715873808,0.8658699071
0.3277796675,-0.8692323709,0.8659524386
0.3267254892,-0.8668392703,0.8660381343
0.3256633218,-0.8643870886,0.8661338338
0.3245710054,-0.8618437767,0.8662475516
0.3234182931,-0.8591637332,0.8663890454
0.3221675194,-0.8562866884,0.8665702385
0.3207758612,-0.8531388603,0.8668052894
0.3191993440,-0.8496369906,0.8671101351
0.3173983686,-0.8456953228,0.8675014224
0.3153440932,-0.8412348839,0.8679948821
0.3130246558,-0.8361937612,0.8686033462
0.3104500595,-0.8305366285,0.8693347336
0.3076546509,-0.8242617168,0.8701903952
0.3046964956,-0.8174037861,0.8711641826
0.3016535019,-0.8100323551,0.8722425100
0.2986167436,-0.8022453266,0.8734055036
0.2956819309,-0.7941589853,0.8746291466
-0.6268552222,-0.1668567828,0.7194809953
-0.6207150355,-0.1630668593,0.7203351265
-0.6145882198,-0.1593337888,0.7210600677
-0.6085004964,-0.1557243760,0.7216334556
-0.6024666653,-0.1522958693,0.7220405660
-0.5964895628,-0.1490942139,0.7222746832
-0.5905600333,-0.1461532071,0.7223368969
-0.5846579278,-0.1434944970,0.7222353895
-0.5787540502,-0.1411282884,0.7219843153
-0.5728128929,-0.1390545729,0.7216024024
-0.5667959419,-0.1372646808,0.7211114144
-0.5606652825,-0.1357429622,0.7205346010
-0.5509728304,-0.1089055057,0.7339004657
-0.5457748636,-0.1119453957,0.7308360843
-0.5401122827,-0.1148554200,0.7279624877
-0.5339763670,-0.1175508084,0.7253311460
-0.5273849031,-0.1199705187,0.7229747425
-0.5203831861,-0.1220771693,0.7209068973
-0.5130421486,-0.1238542745,0.7191238531
-0.5054538040,-0.1253017999,0.7176075484
-0.4977245905,-0.1264310790,0.7163294343
0.1228964545,0.1053840629,0.5212004851
0.1207680405,0.1014360371,0.5183666104
0.1186583176,0.0975187829,0.5154420564
0.1165786054,0.0936462360,0.5124264759
0.1145377885,0.0898325703,0.5093197189
0.1125415335,0.0860917196,0.5061217581
0.1105915453,0.0824369219,0.5028326491
0.1086848917,0.0788803171,0.4994525249
0.1068134256,0.0754326287,0.4959816256
0.1049633412,0.0721029463,0.4924203544
0.1031149050,0.0688986187,0.4887693517
0.1012424124,0.0658252547,0.4850295719
0.0993144301,0.0628868194,0.4812023517
0.0972943853,0.0600858005,0.4772894556
0.0951415655,0.0574234180,0.4732930889
0.0928125762,0.0548998416,0.4692158725
0.0902632821,0.0525143860,0.4650607778
0.0874512124,0.0502656539,0.4608310266
0.0843383629,0.0481516081,0.4565299639
0.0808942569,0.0461695618,0.4521609160
0.0770990649,0.0443160909,0.4477270481
0.0729465208,0.0425868796,0.4432312329
0.0684463310,0.0409765266,0.4386759425
0.0636257593,0.0394783429,0.4340631679
0.0585301013,0.0380841766,0.4293943676
0.0532218287,0.0367843011,0.4246704394
0.0477783018,0.0355673932,0.4198917058
0.5589920128,-0.0567633211,1.2786323126
0.5529212458,-0.0555284112,1.2800476356
0.5469117827,-0.0542548288,1.2814029374
0.5409872952,-0.0529443858,1.2826850129
0.5351681359,-0.0515990253,1.2838818181
0.5294706756,-0.0502208155,1.2849829459
0.5239068392,-0.0488119334,1.2859800171
0.5184838527,-0.0473746389,1.2868669744
0.5132041979,-0.0459112389,1.2876402749
0.5080657616,-0.0444240461,1.2882989809
0.5030621571,-0.0429153350,1.2888447546
0.4981831869,-0.0413873019,1.2892817664
0.4934154155,-0.0398420313,1.2896165264
0.4887428194,-0.0382814770,1.2898576519
0.4841474831,-0.0367074592,1.2900155821
0.4796103134,-0.0351216798,1.2901022514
0.4751117495,-0.0335257591,1.2901307315
0.4706324476,-0.0319212884,1.2901148510
0.4661539249,-0.0303098993,1.2900688023
0.4616591490,-0.0286933400,1.2900067430
0.4571330607,-0.0270735566,1.2899424008
0.4525630195,-0.0254527687,1.2898886916
0.4479391619,-0.0238335329,1.2898573586
0.4432546627,-0.0222187888,1.2898586436
